avg_response_time,coverage_percent,incidents_prevented,prediction_rate,prediction_precision,prediction_recall,incidents_total,resolved_incidents
42.63111111111111,70.89607699805049,0.0,0.0,0.0,0.0,910.0,900.0
38.41628959276018,71.35099902534107,0.0,0.0,0.0,0.0,899.0,884.0
42.293347873500544,70.154848927875,0.0,0.0,0.0,0.0,926.0,917.0
38.097041420118344,71.11890838206621,0.0,0.0,0.0,0.0,862.0,845.0
37.19315673289183,70.22295321637421,0.0,0.0,0.0,0.0,922.0,906.0
42.69170403587444,67.4234892787523,0.0,0.0,0.0,0.0,896.0,892.0
36.917647058823526,69.8100633528264,0.0,0.0,0.0,0.0,872.0,850.0
46.46623093681917,69.0439814814814,0.0,0.0,0.0,0.0,942.0,918.0
43.04707233065442,69.93603801169594,0.0,0.0,0.0,0.0,879.0,871.0
37.91405342624855,70.56140350877197,0.0,0.0,0.0,0.0,877.0,861.0
35.315550510783204,69.95455653021426,0.0,0.0,0.0,0.0,903.0,881.0
41.77113866967306,68.7432992202727,0.0,0.0,0.0,0.0,907.0,887.0
46.93290043290043,68.48611111111104,0.0,0.0,0.0,0.0,942.0,924.0
40.69599109131403,69.03752436647164,0.0,0.0,0.0,0.0,912.0,898.0
39.86258660508083,69.35404483430793,0.0,0.0,0.0,0.0,885.0,866.0
45.184699453551914,70.45163255360625,0.0,0.0,0.0,0.0,921.0,915.0
44.83276450511946,69.20735867446395,0.0,0.0,0.0,0.0,883.0,879.0
46.95938529088913,70.90874756335273,0.0,0.0,0.0,0.0,919.0,911.0
45.038293216630194,70.28874269005851,0.0,0.0,0.0,0.0,927.0,914.0
47.2,68.84259259259254,0.0,0.0,0.0,0.0,956.0,940.0
48.08135593220339,68.58759746588711,0.0,0.0,0.0,0.0,906.0,885.0
40.52243958573072,70.24025341130591,0.0,0.0,0.0,0.0,883.0,869.0
31.827114427860696,71.33991228070187,0.0,0.0,0.0,0.0,819.0,804.0
48.784877529286476,68.5222953216374,0.0,0.0,0.0,0.0,956.0,939.0
38.89775280898876,70.81250000000001,0.0,0.0,0.0,0.0,893.0,890.0
46.531590413943356,68.28923001949303,0.0,0.0,0.0,0.0,937.0,918.0
39.66252821670429,69.71515594541904,0.0,0.0,0.0,0.0,904.0,886.0
46.34444444444444,69.5936890838206,0.0,0.0,0.0,0.0,926.0,900.0
41.35806831566549,70.39826998050705,0.0,0.0,0.0,0.0,858.0,849.0
34.90011750881316,69.78679337231945,0.0,0.0,0.0,0.0,862.0,851.0
