avg_response_time,coverage_percent,incidents_prevented,prediction_rate,prediction_precision,prediction_recall,incidents_total,resolved_incidents
24.547065337763012,71.57760721247564,0.0,0.0,0.0,0.0,910.0,903.0
21.899774774774773,71.76644736842104,0.0,0.0,0.0,0.0,899.0,888.0
24.4,71.64668615984411,0.0,0.0,0.0,0.0,926.0,920.0
21.65456674473068,71.86159844054563,0.0,0.0,0.0,0.0,862.0,854.0
22.633187772925766,70.6571637426899,0.0,0.0,0.0,0.0,922.0,916.0
25.57511210762332,71.16825048732935,0.0,0.0,0.0,0.0,896.0,892.0
22.182134570765662,71.44615009746607,0.0,0.0,0.0,0.0,872.0,862.0
25.957127545551984,70.99256822612071,0.0,0.0,0.0,0.0,942.0,933.0
22.40736478711162,71.05811403508768,0.0,0.0,0.0,0.0,879.0,869.0
23.29080459770115,71.98842592592575,0.0,0.0,0.0,0.0,877.0,870.0
19.16573348264278,70.13913255360619,0.0,0.0,0.0,0.0,903.0,893.0
22.947603121516163,70.29312865497069,0.0,0.0,0.0,0.0,907.0,897.0
27.075187969924812,70.61915204678378,0.0,0.0,0.0,0.0,942.0,931.0
23.05210643015521,70.72368421052603,0.0,0.0,0.0,0.0,912.0,902.0
23.614763552479815,71.67702241715384,0.0,0.0,0.0,0.0,885.0,867.0
28.578602620087338,71.40716374269006,0.0,0.0,0.0,0.0,921.0,916.0
24.97840909090909,71.01559454191033,0.0,0.0,0.0,0.0,883.0,880.0
27.710526315789473,71.67324561403481,0.0,0.0,0.0,0.0,919.0,912.0
27.542391304347827,71.2688840155948,0.0,0.0,0.0,0.0,927.0,920.0
26.90851735015773,70.3713450292398,0.0,0.0,0.0,0.0,956.0,951.0
28.207357859531772,70.63608674463921,0.0,0.0,0.0,0.0,906.0,897.0
22.26879271070615,71.39546783625728,0.0,0.0,0.0,0.0,883.0,878.0
20.67118226600985,71.76145224171519,0.0,0.0,0.0,0.0,819.0,812.0
26.79343220338983,70.16873781676395,0.0,0.0,0.0,0.0,956.0,944.0
21.804494382022472,72.07346491228078,0.0,0.0,0.0,0.0,893.0,890.0
23.615384615384617,70.33808479532172,0.0,0.0,0.0,0.0,937.0,923.0
22.516237402015676,71.89900097465893,0.0,0.0,0.0,0.0,904.0,893.0
27.736612021857923,71.26206140350857,0.0,0.0,0.0,0.0,926.0,915.0
23.360328638497652,71.18299220272904,0.0,0.0,0.0,0.0,858.0,852.0
18.669005847953215,71.00816276803135,0.0,0.0,0.0,0.0,862.0,855.0
