config,tau,alpha,threshold,window,radius,objective_score,f1_mean,avg_response_time_mean,coverage_percent_mean,incidents_prevented_mean,prediction_rate_mean,prediction_precision_mean,prediction_recall_mean,incidents_total_mean,resolved_incidents_mean,avg_response_time_std,coverage_percent_std,incidents_prevented_std,prediction_rate_std,prediction_precision_std,prediction_recall_std,incidents_total_std,resolved_incidents_std
recall_a,80.0,0.2,0.1,500,2,0.11570402052358067,0.11559838880315056,9.157607050092986,79.91885964912288,0.13333333333333333,0.0010563172043010752,0.14364776611324767,0.09671360854804693,125.46666666666667,122.43333333333334,1.9043883997309203,2.108628824653591,0.339934634239519,0.002693402753719715,0.030298787628586378,0.020106773822614978,10.923166004211213,11.51718522710977
recall_b,80.0,0.2,0.05,500,2,0.10038759357534298,0.10022840655745513,9.198776594372891,79.98181286549712,0.2,0.00159187017887844,0.09256957329678515,0.10926887250416213,125.46666666666667,122.33333333333333,1.6544371412372083,1.934498353268972,0.4,0.003184187981717526,0.022644913128529384,0.018808212505065976,10.923166004211213,12.064640713902572
sensitive_b,55.0,0.2,0.22,260,2,0.08388568399815283,0.08385901733148617,8.81237870789798,80.06084795321644,0.03333333333333333,0.0002666666666666667,0.19723668279881368,0.0532495504266231,125.46666666666667,122.4,1.803907124252379,2.230912361403435,0.17950549357115014,0.0014360439485692012,0.05789101412463316,0.014403814876231574,10.923166004211213,11.525623627379128
balanced_b,35.0,0.2,0.25,180,2,0.07332762840256966,0.073300961735903,8.689900735843931,80.46719298245621,0.03333333333333333,0.0002666666666666667,0.2855803434897862,0.04204661025839232,125.46666666666667,122.46666666666667,1.8083596473401933,1.8333714369693475,0.17950549357115014,0.0014360439485692012,0.08452875230988446,0.011469672564509686,10.923166004211213,11.912831550708486
sensitive_a,40.0,0.18,0.24,220,2,0.06396389457993269,0.06393722791326603,8.545690223033706,80.69520467836264,0.03333333333333333,0.0002666666666666667,0.25685831831803696,0.036513029545644865,125.46666666666667,122.16666666666667,1.6741852707106508,1.4732845589620753,0.17950549357115014,0.0014360439485692012,0.07472794957641622,0.010741331277513007,10.923166004211213,11.916608391465902
recall_c,80.0,0.2,0.03,500,2,0.0549665201875442,0.052163553080934406,9.236960234459078,77.78140350877197,3.533333333333333,0.028029671066097963,0.027731277614808533,0.4384847013330467,125.46666666666667,122.73333333333333,1.956914587493154,2.227110978316205,2.4864074931962024,0.019722901352623955,0.007451038501999803,0.06026606611408515,10.923166004211213,11.851675924620206
balanced_a,45.0,0.16,0.26,220,2,0.04102349610695898,0.04102349610695898,8.635766111821189,80.5539766081872,0.0,0.0,0.2961915861915862,0.022037909019950484,125.46666666666667,122.06666666666666,1.5190472293129087,1.9113951049485864,0.0,0.0,0.15646158979919228,0.009150719089729815,10.923166004211213,11.549699370786911
baseline,40.0,0.08,0.55,160,2,0.0,0.0,8.561038215469136,81.06774853801176,0.0,0.0,0.0,0.0,125.46666666666667,122.16666666666667,1.631671238986891,1.7185351672663673,0.0,0.0,0.0,0.0,10.923166004211213,11.55013227437485
