avg_response_time,coverage_percent,incidents_prevented,prediction_rate,prediction_precision,prediction_recall,incidents_total,resolved_incidents
23.864894795127352,71.61391325536056,0.0,0.0,0.12222222222222222,0.012087912087912088,910.0,903.0
21.306306306306308,71.89802631578937,0.0,0.0,0.1368421052631579,0.014460511679644048,899.0,888.0
24.50978260869565,70.5023148148147,0.0,0.0,0.1717171717171717,0.0183585313174946,926.0,920.0
23.191764705882353,71.8996101364524,0.0,0.0,0.1111111111111111,0.01160092807424594,862.0,850.0
23.614709110867178,71.71345029239735,1.0,0.0010845986984815619,0.10309278350515463,0.010845986984815618,922.0,911.0
25.242152466367713,69.99792884990248,0.0,0.0,0.10101010101010101,0.011160714285714286,896.0,892.0
22.308051341890316,71.25523879142293,0.0,0.0,0.14130434782608695,0.014908256880733946,872.0,857.0
27.054779806659507,70.18201754385969,0.0,0.0,0.1827956989247312,0.018046709129511677,942.0,931.0
24.1697247706422,70.74000974658858,0.0,0.0,0.21052631578947367,0.022753128555176336,879.0,872.0
22.763218390804596,70.98598927875238,0.0,0.0,0.17045454545454544,0.01710376282782212,877.0,870.0
21.607382550335572,71.22953216374268,0.0,0.0,0.12903225806451613,0.013289036544850499,903.0,894.0
23.702008928571427,69.2704678362573,1.0,0.0011025358324145535,0.15463917525773196,0.016538037486218304,907.0,896.0
28.96670247046187,70.15984405458072,0.0,0.0,0.18627450980392157,0.020169851380042462,942.0,931.0
23.991130820399114,71.31323099415215,0.0,0.0,0.17708333333333334,0.01864035087719298,912.0,902.0
23.254022988505746,71.1276803118907,0.0,0.0,0.21052631578947367,0.022598870056497175,885.0,870.0
25.016375545851528,71.11610623781665,0.0,0.0,0.18,0.019543973941368076,921.0,916.0
23.35990888382688,71.54848927875241,0.0,0.0,0.11702127659574468,0.01245753114382786,883.0,878.0
26.360655737704917,73.52972709551656,0.0,0.0,0.17391304347826086,0.017410228509249184,919.0,915.0
24.880434782608695,70.4629629629627,0.0,0.0,0.17391304347826086,0.017259978425026967,927.0,920.0
28.516298633017875,69.87597465886913,0.0,0.0,0.1919191919191919,0.0198744769874477,956.0,951.0
29.78420467185762,68.75925925925915,0.0,0.0,0.15463917525773196,0.016556291390728478,906.0,899.0
22.106285714285715,71.85879629629628,0.0,0.0,0.19148936170212766,0.020385050962627407,883.0,875.0
21.018359853121176,72.00901559454186,0.0,0.0,0.09278350515463918,0.01098901098901099,819.0,817.0
27.868004223864837,70.17348927875234,0.0,0.0,0.1702127659574468,0.016736401673640166,956.0,947.0
23.588103254769923,71.86586257309924,0.0,0.0,0.17307692307692307,0.020156774916013438,893.0,891.0
26.66774193548387,70.16374269005841,0.0,0.0,0.16161616161616163,0.017075773745997867,937.0,930.0
23.98314606741573,71.16800682261217,1.0,0.0011061946902654867,0.12,0.01327433628318584,904.0,890.0
26.416849015317286,70.00755360623766,1.0,0.0010799136069114472,0.1702127659574468,0.017278617710583154,926.0,914.0
24.13529411764706,71.13901072124754,0.0,0.0,0.15625,0.017482517482517484,858.0,850.0
18.903981264637004,71.13499025341113,0.0,0.0,0.10989010989010989,0.01160092807424594,862.0,854.0
