avg_response_time,coverage_percent,incidents_prevented,prediction_rate,prediction_precision,prediction_recall,incidents_total,resolved_incidents
24.9284140969163,70.14412768031166,20.0,0.02197802197802198,0.0012932428063368898,0.02197802197802198,910.0,908.0
20.688413948256468,70.42361111111104,17.0,0.018909899888765295,0.0011322011322011322,0.018909899888765295,899.0,889.0
22.872964169381106,69.74244639376198,32.0,0.03455723542116631,0.002102178621480443,0.035637149028077755,926.0,921.0
22.80470588235294,70.3137183235867,12.0,0.013921113689095127,0.000966316951960243,0.016241299303944315,862.0,850.0
21.471491228070175,69.42958089668602,32.0,0.03470715835140998,0.0019261637239165329,0.03253796095444685,922.0,912.0
25.753363228699552,67.92616959064323,13.0,0.014508928571428572,0.0008550381478558274,0.014508928571428572,896.0,892.0
23.227272727272727,69.56883528265102,13.0,0.014908256880733946,0.0010283833813245578,0.017201834862385322,872.0,858.0
24.778969957081546,67.93079922027287,21.0,0.022292993630573247,0.0012394645513138325,0.021231422505307854,942.0,932.0
24.508591065292098,69.37365984405456,19.0,0.02161547212741752,0.0012101653892698668,0.020477815699658702,879.0,873.0
21.303099885189436,70.1243908382066,17.0,0.019384264538198404,0.0010826904858573555,0.018244013683010263,877.0,871.0
21.06927374301676,69.70565302144253,18.0,0.019933554817275746,0.0011846781624325392,0.019933554817275746,903.0,895.0
22.54120267260579,68.30616471734893,26.0,0.02866593164277839,0.001567398119122257,0.026460859977949284,907.0,898.0
29.100642398286936,68.30616471734905,25.0,0.02653927813163482,0.0015664160401002505,0.02653927813163482,942.0,934.0
23.38095238095238,68.56432748538016,23.0,0.025219298245614034,0.0015557140079082129,0.02631578947368421,912.0,903.0
23.214942528735634,69.30019493177387,17.0,0.0192090395480226,0.0012737999463663181,0.021468926553672316,885.0,870.0
24.69029443838604,69.41934697855747,17.0,0.018458197611292075,0.001284439021257466,0.021715526601520086,921.0,917.0
24.53628117913832,68.5549463937622,16.0,0.01812004530011325,0.0011258278145695364,0.01925254813137033,883.0,882.0
27.431072210065647,70.29312865497086,30.0,0.03264417845484222,0.001851497158909532,0.031556039173014146,919.0,914.0
24.979347826086958,68.79678362573095,24.0,0.025889967637540454,0.0013409961685823754,0.022653721682847898,927.0,920.0
25.696428571428573,67.34783138401558,28.0,0.029288702928870293,0.0017850547827157454,0.030334728033472803,956.0,952.0
28.182628062360802,67.3981481481481,16.0,0.017660044150110375,0.001171875,0.019867549668874173,906.0,898.0
21.54057142857143,69.77863060428858,26.0,0.02944507361268403,0.0017421602787456446,0.02944507361268403,883.0,875.0
19.846813725490197,70.31993177387915,18.0,0.02197802197802198,0.0011549844798960515,0.019536019536019536,819.0,816.0
25.685714285714287,67.89534600389851,22.0,0.02301255230125523,0.0013571869216533004,0.02301255230125523,956.0,945.0
22.031460674157305,70.76315789473686,26.0,0.029115341545352745,0.0018385974128307834,0.03135498320268757,893.0,890.0
26.088457389428264,68.52802144249517,17.0,0.01814300960512273,0.0010751328105236529,0.01814300960512273,937.0,927.0
21.690929451287793,69.54824561403505,30.0,0.033185840707964605,0.0017667844522968198,0.029867256637168143,904.0,893.0
25.162663755458514,68.32565789473678,14.0,0.01511879049676026,0.0010220376876397318,0.017278617710583154,926.0,916.0
22.07050528789659,69.8894980506823,17.0,0.019813519813519812,0.001182033096926714,0.019813519813519812,858.0,851.0
19.668218859138534,69.74439571150086,21.0,0.024361948955916472,0.001439736733854381,0.024361948955916472,862.0,859.0
